timestamp,category,lines,reason,location,text_snippet
2026-02-22 13:43:56,Delay,"2, A",Unknown,Multiple/System-wide,"A/Rockaway Park Shuttle trains are delayed in both directions while the South Channel Bridge opens for marine traffic to pass. trains are delayed in both directions while the South Channel Bridge opens for boats to pass. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link be"
2026-02-22 13:26:38,Info/Other,"2, A",Unknown,Multiple/System-wide,"You may wait longer for A train shuttle buses. We are running as much service as we can with the bus operators we have available. You may wait longer for train shuttle buses. We are running as much service as we can with the bus operators we have available. Please allow additional travel time. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to"
2026-02-22 13:25:25,Weather Prep,"2, A",Weather,Multiple/System-wide,"A trains are running local in both directions between Broadway Junction and Hoyt-Schermerhorn Sts. trains are running local in both directions between Broadway Junction and Hoyt-Schermerhorn Sts . What's Happening? We are preparing for the winter storm. Boarding Change At Nostrand Av , board all trains from the lower level platform. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA"
2026-02-22 13:19:32,Delay,"2, D, N, Q, R",Unknown,De,"Uptown D/N/Q/R trains are delayed while we investigate what caused a train's brakes to activate near DeKalb Av. Uptown trains are delayed while we investigate what caused a train's brakes to activate near DeKalb Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below."
2026-02-22 12:44:12,Delay,2,Unknown,Bronx Park East,"Downtown 2 trains are running with delays after we requested medical help for someone at Bronx Park East. Downtown trains are running with delays after we requested medical help for someone at Bronx Park East . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsub"
2026-02-22 12:20:06,Delay,"2, 6",Mechanical (Doors),Brook Av,"Brooklyn Bridge-City Hall-bound 6 trains are delayed while we remove a train with a door problem from service at Brook Av. Brooklyn Bridge-City Hall -bound trains are delayed while we remove a train with a door problem from service at Brook Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receiv"
2026-02-22 11:37:41,Delay,"2, 7, Q",Unknown,Multiple/System-wide,"Downtown Q trains are running with delays after we moved a train that had its brakes activated at 57 St/7 Av. Downtown trains are running with delays after we moved a train that had its brakes activated at 57 St/7 Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link belo"
2026-02-22 11:27:00,Delay,"2, 7",Mechanical (Doors),Multiple/System-wide,"34 St-Hudson Yards-bound 7 trains are delayed while we address a door problem on a train at 46 St-Bliss St. 34 St-Hudson Yards -bound trains are delayed while we address a door problem on a train at 46 St-Bliss St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. "
2026-02-22 11:26:54,Delay,"2, A",Unknown,Multiple/System-wide,"A/Rockaway Park Shuttle trains are delayed in both directions while the South Channel Bridge opens for marine traffic to pass. trains are delayed in both directions while the South Channel Bridge opens for boats to pass. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link be"
2026-02-22 10:52:51,Delay,"2, F",Unknown,Multiple/System-wide,"Downtown F trains are delayed while we investigate why a train's brakes activated near 57 St. Downtown trains are delayed while we investigate why a train's brakes activated near 57 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or update your pr"
2026-02-22 09:53:35,Delay,"2, N",Mechanical (Doors),Multiple/System-wide,"Uptown N trains are delayed while we address a door problem on a train at 49 St. Uptown trains are delayed while we address a door problem on a train at 49 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or update your preferences"
2026-02-22 08:15:15,Weather Prep,"2, 3",Weather,Times Sq,"Uptown 3 trains are running on the local track from Times Sq-42 St to 72 St. Uptown trains are running on the local track from Times Sq-42 St to 72 St . What's Happening? We are preparing for the winter storm. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubs"
2026-02-22 07:58:44,Service Resumed,"2, A",Medical/Police,Van Siclen Av,"A trains are running with delays in both directions after NYPD/EMS responded to someone in need at Van Siclen Av. trains are running with delays in both directions after NYPD/EMS responded to someone in need at Van Siclen Av . trains have resumed making scheduled stops in Brooklyn. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your"
2026-02-22 07:10:50,Delay,"2, D, N",Unknown,Multiple/System-wide,"Uptown D/N trains are running with delays after we completed track maintenance at 25 St. Uptown trains are running with delays after we completed track maintenance at 25 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or update your preferences"
2026-02-22 07:09:51,Delay,"2, A",Medical/Police,Van Siclen Av,"A trains are running with delays in both directions. Far Rockaway-bound A trains will not stop at Van Siclen Av. trains are running with delays in both directions. Far Rockaway-bound trains will not stop at Van Siclen Av . What's Happening? NYPD/EMS is responding to someone in need at Van Siclen Av For service to/from Van Siclen Av , take an uptown train. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you"
2026-02-22 06:54:55,Delay,"2, F, G",Unknown,Church Av,"F/G trains are delayed in both directions while we investigate why a train's brakes activated near Church Av. trains are delayed in both directions while we investigate why a train's brakes activated near Church Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below."
2026-02-22 06:47:34,Service Change,"2, D, N",Unknown,Atlantic Av,"Uptown D/N trains are running express from 36 St to Atlantic Av-Barclays Ctr while we conduct track maintenance at 25 St. Uptown trains are running express from 36 St to Atlantic Av-Barclays Ctr while we conduct track maintenance at 25 St . For service to/from bypassed stations, take a downtown local train. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If"
2026-02-22 06:36:22,Info/Other,"2, A",Unknown,Far Rockaway,"There is no A train service between Euclid Av and Broadway Junction in both directions. There is no train service between Euclid Av and Broadway Junction in both directions. Service Changes: The last stop on Queens-bound trains will be Broadway Junction . The last stop on Manhattan-bound trains from Far Rockaway will be Euclid Av . Travel Alternatives: For service between Broadway Junction and Euclid Av , consider using the B14 or Q24 buses. For service to JFK Airport , use trains instead. For t"
2026-02-22 06:09:27,Delay,"2, A",Medical/Police,Van Siclen Av,"Far Rockaway-Mott Av-bound A trains are delayed while we request EMS for a person in need at Van Siclen Av. Far Rockaway-Mott Av -bound trains are delayed while we request EMS for a person in need at Van Siclen Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. "
2026-02-22 05:59:10,Delay,"2, J",Medical/Police,Bowery,"Jamaica Center-bound J trains are running with delays after EMS responded to someone in need on a train at Bowery. Jamaica Center-bound trains are running with delays after EMS responded to someone in need on a train at Bowery . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the"
2026-02-22 05:44:24,Service Resumed,"2, E, F",Unknown,Jackson Heights,"Downtown E/F trains are running with delays after NYPD conducted an investigation at Jackson Heights-Roosevelt Av Downtown trains are running with delays after NYPD conducted an investigation at Jackson Heights-Roosevelt Av Downtown trains have resumed making local stops in Queens. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your"
2026-02-22 05:34:32,Delay,"2, 7",Unknown,Multiple/System-wide,"7 trains are delayed in both directions while we investigate what caused a train's brakes to activate at 34 St-Hudson Yards. trains are delayed in both directions while we investigate what caused a train's brakes to activate at 34 St-Hudson Yards . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to rec"
2026-02-22 05:25:03,Service Change,"2, E, F",Unknown,Forest Hills,"Downtown E/F trains are running express from Forest Hills-71 Av to Jackson Heights-Roosevelt Av while NYPD conducts an investigation at Jackson Heights-Roosevelt Av. Downtown trains are running express from Forest Hills-71 Av to Jackson Heights-Roosevelt Av while NYPD conducts an investigation at Jackson Heights-Roosevelt Av . For service to/from bypassed stops, take a Jamaica-bound local train. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004"
2026-02-22 05:21:28,Delay,"2, E, F",Unknown,Jackson Heights,"Downtown E/F trains are delayed while NYPD conducts an investigation at Jackson Heights-Roosevelt Av. Downtown trains are delayed while NYPD conducts an investigation at Jackson Heights-Roosevelt Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or "
2026-02-22 05:16:12,Service Resumed,"2, N, Q",Unknown,Multiple/System-wide,"Downtown N/Q trains are running with delays after emergency teams responded to someone struck by a train at 23 St. Downtown trains are running with delays after emergency teams responded to someone struck by a train at 23 St . Downtown trains have resumed making scheduled stops. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your al"
2026-02-22 05:11:16,Delay,"2, A",Unknown,Multiple/System-wide,"A/Rockaway Park Shuttle trains are delayed in both directions while the South Channel Bridge opens for boats to pass. trains are delayed in both directions while the South Channel Bridge opens for boats to pass. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsu"
2026-02-22 04:57:49,Delay,"2, D",Unknown,Bay,"Uptown D trains are running with delays after we addressed a mechanical problem on a train at Bay 50 St. Uptown trains are running with delays after we addressed a mechanical problem on a train at Bay 50 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubsc"
2026-02-22 04:56:38,Delay,"2, D, N",Mechanical (Doors),Atlantic Av,"Coney Island-bound D/N trains are running with delays after we addressed a door problem on a train at Atlantic Av-Barclays Ctr. Coney Island-bound trains are running with delays after we addressed a door problem on a train at Atlantic Av-Barclays Ctr . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to"
2026-02-22 04:53:25,Service Change,"2, N, Q",Unknown,Times Sq,"Downtown N/Q trains are running express from Times Sq-42 St to Canal St while emergency teams respond to someone struck by a train at 23 St. Downtown trains are running express from Times Sq-42 St to Canal St while emergency teams respond to someone struck by a train at 23 St . For service to/from bypassed stops, take an uptown train. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to M"
2026-02-22 04:33:26,Delay,"2, N, Q",Unknown,Multiple/System-wide,"Downtown N/Q trains are delayed while we conduct an investigation at 23 St. Downtown trains are delayed while we conduct an investigation at 23 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or update your preferences"
2026-02-22 04:25:52,Service Resumed,"2, F, G",Unknown,Church Av,"Uptown F and Court Sq-bound G trains are running with delays after we removed a train with a mechanical problem from service at Church Av. Uptown and Court Sq-bound trains are running with delays after we removed a train with a mechanical problem from service at Church Av . Uptown and Court Sq-bound trains have resumed making local stops from Church Av to Smith-9 Sts . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this ema"
2026-02-22 04:01:50,Delay,"2, 6, E",Unknown,Westchester Sq,"Downtown 6 trains are running with delays after we requested NYPD assistance for people being disruptive on a train near Westchester Sq-E Tremont Av. Downtown trains are running with delays after we requested NYPD assistance for people being disruptive on a train near Westchester Sq-E Tremont Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d lik"
2026-02-22 03:50:27,Service Change,"2, F, G",Unknown,Church Av,"Uptown F and Court Sq-bound G trains are running express from Church Av to Smith-9 Sts. Uptown and Court Sq-bound trains are running express from Church Av to Smith-9 Sts . We are addressing a mechanical problem on a train at Church Av . For service to/from bypassed stops, take a Church Av-bound or train. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If y"
2026-02-22 03:33:49,Delay,"2, E",Unknown,Queens Plaza Jamaica,"Jamaica-bound E trains are running with delays after we removed a train car in need of cleaning from service at Queens Plaza Jamaica-bound trains are running with delays after we removed a train car in need of cleaning from service at Queens Plaza For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to rece"
2026-02-22 02:16:16,Delay,"2, Q",Unknown,Atlantic Av,"Coney Island-bound Q trains are delayed while we request NYPD for a person being disruptive on a train at Atlantic Av-Barclays Ctr. Coney Island-bound trains are delayed while we request NYPD for a person being disruptive on a train at Atlantic Av-Barclays Ctr . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would pre"
2026-02-22 02:16:06,Delay,"2, N, Q, R",Unknown,Multiple/System-wide,"N/Q/R trains are running with delays in both directions while a work train moves through the area near 34 St-Herald Sq. trains are running with delays in both directions while a work train moves through the area near 34 St-Herald Sq . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, u"
2026-02-22 01:40:44,Delay,"2, 3",Medical/Police,Times Sq,"Uptown 2/3 trains are running with delays after we EMS assisted someone in need on a train at Times Sq-42 St. Uptown trains are running with delays after we EMS assisted someone in need on a train at Times Sq-42 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below."
2026-02-22 01:22:02,Delay,"2, A, C",Unknown,Fulton St,"Downtown A/C trains are delayed while we request NYPD assistance for someone being disruptive on a train at Fulton St. Downtown trains are delayed while we request NYPD assistance for someone being disruptive on a train at Fulton St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, u"
2026-02-22 00:50:27,Service Resumed,"2, Q",Unknown,Parkside Av,"Uptown Q trains are running with delays after we removed a train with a mechanical problem from service at Parkside Av. Uptown trains are running with delays after we removed a train with a mechanical problem from service at Parkside Av . Uptown trains have resumed regular service from Kings Hwy to Prospect Park . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newslett"
2026-02-22 00:13:11,Service Change,"2, Q",Unknown,Kings Hwy,"Uptown Q trains are running express from Kings Hwy to Prospect Park while we remove a train with a mechanical problem from service at Parkside Av. Uptown trains are running express from Kings Hwy to Prospect Park while we remove a train with a mechanical problem from service at Parkside Av . For service to/from stops bypassed, take a Coney Island-bound train. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because"
2026-02-22 00:09:10,Service Change,"2, Q",Unknown,Kings Hwy,"Uptown Q trains are running express from Kings Hwy to Prospect Park while we remove a train with a mechanical problem from service at Parkside Av. Uptown trains are running express from Kings Hwy to Prospect Park while we remove a train with a mechanical problem from service at Parkside Av . For service to/from stops bypassed, take a Coney Island-bound train. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because"
2026-02-21 23:51:56,Delay,"2, A",Unknown,Multiple/System-wide,"A/Rockaway Park Shuttle trains are delayed in both directions while the South Channel Bridge opens for marine traffic to pass. trains are delayed in both directions while the South Channel Bridge opens for boats to pass. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link be"
2026-02-21 23:36:10,Delay,"2, N, R",Unknown,Lexington Av,"Uptown N/R trains are running with delays after we moved a train that had its brakes activated at Lexington Av/59 St. Uptown trains are running with delays after we moved a train that had its brakes activated at Lexington Av/59 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use"
2026-02-21 23:14:10,Delay,"2, 4, 6",Unknown,Grand Central,"Uptown 4/6 trains are delayed while we investigate why a train's brakes activated at Grand Central-42 St. Uptown trains are delayed while we investigate why a train's brakes activated at Grand Central-42 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubsc"
2026-02-21 23:09:33,Delay,"2, Q",Unknown,Kings Hwy,"Uptown Q trains are delayed while we request NYPD for a person being disruptive on a train at Kings Hwy. Uptown trains are delayed while we request NYPD for a person being disruptive on a train at Kings Hwy . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubsc"
2026-02-21 22:43:56,Delay,"2, E, F",Unknown,Multiple/System-wide,"Uptown E/F trains are running with delays after we requested NYPD for a person being disruptive on a train at 2 Av. Uptown trains are running with delays after we requested NYPD for a person being disruptive on a train at 2 Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the"
2026-02-21 22:28:12,Delay,"2, 7, D",Unknown,Multiple/System-wide,"Uptown D trains are running with delays after we requested NYPD for a person being disruptive on a train at 7 Av. Uptown trains are running with delays after we requested NYPD for a person being disruptive on a train at 7 Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the l"
2026-02-21 22:10:35,Delay,"2, 7",Signal Problems,Mets,"7 trains are running with delays in both directions while we address a signal problem near Mets-Willets Point. trains are running with delays in both directions while we address a signal problem near Mets-Willets Point . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link be"
2026-02-21 22:07:55,Delay,"2, E, F",Medical/Police,Forest Hills,"Jamaica-bound E/F trains are delayed while we request EMS for a person in need on a train at Forest Hills-71 Av. Jamaica-bound trains are delayed while we request EMS for a person in need on a train at Forest Hills-71 Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link "
2026-02-21 21:26:15,Delay,"2, E, F, R",Unknown,Queens Plaza,"Jamaica-bound E/F trains are delayed. Forest Hills-bound R trains are running express from Queens Plaza to Jackson Heights-Roosevelt Av. Jamaica-bound trains are delayed. Forest Hills-bound trains are running express from Queens Plaza to Jackson Heights-Roosevelt Av . What's Happening? We're investigating why a train's brakes activated at 65 St . For service to/from stops bypassed, take a downtown train. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York,"
2026-02-21 21:25:35,Delay,"2, N",Unknown,Coney Island,"N trains are running with delays in both directions after we removed a train car in need of cleaning from service at Coney Island-Stillwell Av. trains are running with delays in both directions after we removed a train car in need of cleaning from service at Coney Island-Stillwell Av . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust "
2026-02-21 21:22:43,Delay,"2, E, F, R",Unknown,Queens Plaza,"Jamaica-bound E/F trains are delayed. Forest Hills-bound R trains are running express from Queens Plaza to Jackson Heights-Roosevelt Av. Jamaica-bound trains are delayed. Forest Hills-bound trains are running express from Queens Plaza to Jackson Heights-Roosevelt Av . What's Happening? We're investigating why a train's brakes activated at 65 St . For service to/from stops bypassed, take a downtown train. For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York,"
2026-02-21 21:16:46,Delay,"2, 7",Unknown,Mets,"34 St-Hudson Yards-bound 7 trains are running with delays after we removed a train due to a mechanical problem at Mets-Willets Point. 34 St-Hudson Yards -bound trains are running with delays after we removed a train due to a mechanical problem at Mets-Willets Point . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or woul"
2026-02-21 21:08:38,Delay,"2, E, F",Unknown,Multiple/System-wide,"Jamaica-bound E/F trains are delayed while we investigate why a train's brakes activated at 65 St. Jamaica-bound trains are delayed while we investigate why a train's brakes activated at 65 St . For the latest, visit mta.info . Metropolitan Transportation Authority 2 Broadway, New York, NY 10004 You are receiving this email because you have subscribed to MTA alerts or newsletters. If you’d like to adjust your alerts or would prefer not to receive emails, use the link below. Unsubscribe or update"
